Date,Time,County,EPA_ID,zipcode,NO,NO2,SO2,CO,CO2,O3,PM2.5,PM10
2021-01-31,11:00,Alameda,0007,94550,,4.1,,,,0.029,1.0,
2021-02-01,05:00,Alameda,0007,94550,,12.3,,,,0.0,8.0,
2021-02-01,06:00,Alameda,0007,94550,,17.3,,,,0.0,7.0,
2021-02-01,07:00,Alameda,0007,94550,,16.4,,,,0.0,9.0,
2021-02-01,08:00,Alameda,0007,94550,,16.2,,,,0.0,12.0,
2021-02-01,09:00,Alameda,0007,94550,,16.3,,,,0.003,9.0,
2021-02-01,11:00,Alameda,0007,94550,,4.5,,,,0.032,1.0,
2021-02-01,10:00,Alameda,0007,94550,,14.3,,,,0.014,,
2021-02-02,05:00,Alameda,0007,94550,,4.8,,,,0.022,3.0,
2021-02-02,06:00,Alameda,0007,94550,,4.3,,,,0.022,1.0,
2021-02-02,07:00,Alameda,0007,94550,,9.5,,,,0.015,2.0,
2021-02-02,08:00,Alameda,0007,94550,,12.1,,,,0.012,3.0,
2021-02-02,09:00,Alameda,0007,94550,,8.7,,,,0.018,5.0,
2021-02-02,10:00,Alameda,0007,94550,,3.1,,,,0.026,2.0,
2021-02-02,11:00,Alameda,0007,94550,,1.3,,,,0.031,-1.0,
2021-02-03,05:00,Alameda,0007,94550,,13.8,,,,0.006,5.0,
2021-02-03,06:00,Alameda,0007,94550,,20.5,,,,0.0,4.0,
2021-02-03,07:00,Alameda,0007,94550,,21.5,,,,0.0,3.0,
2021-02-03,08:00,Alameda,0007,94550,,15.7,,,,0.007,5.0,
2021-02-03,09:00,Alameda,0007,94550,,6.1,,,,0.022,5.0,
2021-02-03,10:00,Alameda,0007,94550,,4.6,,,,0.031,3.0,
2021-02-03,11:00,Alameda,0007,94550,,2.4,,,,0.036,2.0,
2021-02-04,05:00,Alameda,0007,94550,,7.1,,,,0.033,0.0,
2021-02-04,06:00,Alameda,0007,94550,,15.6,,,,0.023,3.0,
2021-02-04,07:00,Alameda,0007,94550,,17.9,,,,0.023,4.0,
2021-02-04,08:00,Alameda,0007,94550,,9.4,,,,0.034,3.0,
2021-02-04,09:00,Alameda,0007,94550,,2.3,,,,0.042,-1.0,
2021-02-04,10:00,Alameda,0007,94550,,1.6,,,,0.042,-4.0,
2021-02-04,11:00,Alameda,0007,94550,,1.1,,,,0.044,-4.0,
